Estabelecimentos encontrados: 262
Tempo DOM: 0.1611s
Tempo SAX: 0.0571s


Estabelecimentos encontrados:

Lat: -12.9782081, Lgt: -38.4547497, Tipo: chocolate, Nome: Caracol
Lat: -12.9810300, Lgt: -38.4538786, Tipo: cafe, Nome: Seven Wonders Café
Lat: -12.9789732, Lgt: -38.4604784, Tipo: restaurant, Nome: Caza - cozinha de afeto
Lat: -12.9789861, Lgt: -38.4606701, Tipo: clothes, Nome: atm
Lat: -12.9790546, Lgt: -38.4606397, Tipo: copyshop, Nome: Nova Solução Digital
Lat: -12.9791388, Lgt: -38.4606008, Tipo: wine, Nome: ivini
Lat: -12.9788474, Lgt: -38.4604024, Tipo: restaurant, Nome: Na Brasa Express
Lat: -12.9789898, Lgt: -38.4608704, Tipo: cafe, Nome: Seven Wonders Café
Lat: -12.9788326, Lgt: -38.4605011, Tipo: restaurant, Nome: Kyoto Sushi
Lat: -12.9790407, Lgt: -38.4604214, Tipo: restaurant, Nome: Neko Neko
Lat: -12.9787762, Lgt: -38.4602705, Tipo: dentist, Nome: Central do Dente
Lat: -12.9788909, Lgt: -38.4606283, Tipo: cafe, Nome: koalas
Lat: -12.9790962, Lgt: -38.4609691, Tipo: optician, Nome: Óticas Carol
Lat: -12.9791314, Lgt: -38.4608428, Tipo: lottery, Nome: Mundo da Sorte
Lat: -12.9792519, Lgt: -38.4609784, Tipo: cafe, Nome: Tivoli Café
Lat: -12.9792175, Lgt: -38.4610950, Tipo: bank, Nome: Caixa Econômica Federal
Lat: -12.9793552, Lgt: -38.4611780, Tipo: cafe, Nome: Café São Diogo
Lat: -12.9794068, Lgt: -38.4613105, Tipo: chocolate, Nome: Cacau Show
Lat: -12.9794877, Lgt: -38.4610437, Tipo: optician, Nome: Óticas Pupila
Lat: -12.9792192, Lgt: -38.4612699, Tipo: convenience, Nome: Delli
Lat: -12.9791107, Lgt: -38.4611533, Tipo: fast_food, Nome: Cosechas
Lat: -12.9788887, Lgt: -38.4609483, Tipo: restaurant, Nome: Oshi
Lat: -12.9786614, Lgt: -38.4608300, Tipo: beauty, Nome: Espaçolaser
Lat: -12.9788986, Lgt: -38.4617461, Tipo: cafe, Nome: Mozzafiato Café
Lat: -12.9795179, Lgt: -38.4611665, Tipo: health_food, Nome: Amoraterra
Lat: -12.9815652, Lgt: -38.4551565, Tipo: cafe, Nome: Mais1 Café
Lat: -12.9839384, Lgt: -38.4532903, Tipo: bank, Nome: Sicredi
Lat: -12.9802413, Lgt: -38.4511031, Tipo: bookmaker, Nome: FTD Educação
Lat: -12.9793225, Lgt: -38.4538376, Tipo: sports, Nome: Casa Esportiva
Lat: -12.9816666, Lgt: -38.4542190, Tipo: restaurant, Nome: Da Horta
Lat: -12.9781668, Lgt: -38.4543959, Tipo: cafe, Nome: Seven Wonders Café
